year,avg_pts
1951.0,375.5057471264368
1952.0,446.89230769230767
1953.0,402.225
1954.0,421.7709923664122
1955.0,504.8636363636364
1956.0,563.8490566037735
1957.0,556.4814814814815
1958.0,569.2142857142857
1959.0,609.3727272727273
1960.0,627.5811965811965
1961.0,734.0961538461538
1962.0,705.1746031746031
1963.0,651.4029850746268
1964.0,631.0503597122303
1965.0,641.3805970149253
1966.0,676.7132352941177
1967.0,728.9852941176471
1968.0,698.6368715083798
1969.0,686.5761904761905
1970.0,706.0436893203884
1971.0,652.1343873517786
1972.0,630.9520295202952
1973.0,590.8530465949821
1974.0,610.4173228346457
1975.0,581.9893992932862
1976.0,576.3639575971731
1977.0,578.0054347826087
1978.0,583.22454308094
1979.0,627.2045454545455
1980.0,612.6277173913044
1981.0,595.6711229946524
1982.0,594.5077720207254
1983.0,577.2807881773399
1984.0,620.7222222222222
1985.0,584.7994791666666
1986.0,564.5326633165829
1987.0,568.5739795918367
1988.0,525.1218961625282
1989.0,548.4039735099337
1990.0,545.0979166666667
1991.0,573.2347826086957
1992.0,534.0677966101695
1993.0,546.5054229934924
1994.0,502.1585365853659
1995.0,530.825806451613
1996.0,479.87654320987656
1997.0,438.78885135135135
1998.0,455.36713286713285
1999.0,278.00191938579655
2000.0,486.5849802371541
2001.0,453.87132352941177
2002.0,480.7294117647059
2003.0,492.72301425661914
2004.0,429.4720812182741
2005.0,452.11655405405406
2006.0,455.9738219895288
2007.0,494.8576850094877
2008.0,443.88379705400985
2009.0,464.9543918918919
2010.0,468.87157534246575
2011.0,449.55134281200634
2012.0,363.2846975088968
2013.0,448.8591065292096
2014.0,439.89262820512823
2015.0,423.54354354354354
2016.0,462.46938775510205
2017.0,473.24297520661156
